nu	S
2.735245189999999980e+02	1.271000000000000089e-27
2.736648359999999798e+02	2.474999999999999856e-30
2.737413619999999810e+02	2.766999999999999900e-27
2.737884599999999864e+02	2.082999999999999977e-29
2.738034620000000245e+02	2.791999999999999829e-27
2.740692109999999957e+02	1.019999999999999945e-30
2.741037460000000010e+02	2.347000000000000112e-30
2.743851510000000076e+02	4.702999999999999775e-30
2.744166799999999853e+02	1.283999999999999939e-29
2.744166799999999853e+02	3.852999999999999845e-29
2.747364069999999856e+02	9.767999999999999693e-28
2.747504690000000096e+02	3.524000000000000266e-30
2.748203700000000254e+02	2.867999999999999903e-29
2.751221889999999917e+02	4.468999999999999784e-29
2.751222119999999904e+02	1.490000000000000124e-29
2.752409299999999917e+02	6.782000000000000083e-27
2.752701430000000187e+02	1.082000000000000079e-27
2.752778139999999780e+02	7.208000000000000484e-26
2.753758730000000128e+02	2.357999999999999903e-21
2.755722250000000031e+02	3.277999999999999657e-30
2.755922340000000190e+02	6.054999999999999944e-30
2.755926150000000234e+02	1.817000000000000067e-29
2.757645880000000034e+02	3.873000000000000238e-24
2.758880290000000173e+02	2.292999999999999995e-30
2.759159159999999815e+02	2.546999999999999949e-27
2.759513370000000236e+02	3.041000000000000001e-29
2.760251640000000179e+02	2.020999999999999972e-24
2.761048559999999839e+02	6.738000000000000208e-25
2.761480270000000132e+02	8.802999999999999978e-20
2.761546920000000114e+02	3.545000000000000155e-29
2.762568130000000224e+02	9.804999999999999556e-29
2.762750270000000228e+02	8.210999999999999883e-27
2.765222699999999918e+02	2.324999999999999978e-22
2.765340620000000058e+02	2.131999999999999953e-29
2.765438790000000040e+02	6.976999999999999590e-22
2.766813769999999977e+02	1.168999999999999929e-30
2.767336129999999912e+02	3.183999999999999817e-28
2.768031740000000127e+02	9.337000000000000414e-30
2.768337890000000243e+02	1.061999999999999920e-28
2.769218079999999986e+02	2.373000000000000002e-29
2.771562030000000050e+02	1.898999999999999904e-26
2.771960080000000062e+02	1.803999999999999982e-29
2.772332079999999905e+02	4.425999999999999976e-29
2.772650300000000243e+02	1.951999999999999938e-29
2.772650300000000243e+02	5.855000000000000068e-29
2.772762960000000021e+02	3.281000000000000021e-29
2.773947880000000055e+02	7.259999999999999484e-30
2.774256199999999808e+02	3.860999999999999861e-21
2.774676969999999869e+02	6.337999999999999934e-27
2.774769850000000133e+02	3.920000000000000187e-30
2.775682719999999790e+02	3.267000000000000117e-24
2.776328809999999976e+02	3.570000000000000017e-29
2.776328869999999824e+02	1.189999999999999959e-29
2.777064020000000255e+02	3.649000000000000276e-29
2.777146999999999935e+02	2.175999999999999859e-30
2.777147630000000049e+02	6.526999999999999899e-30
2.777838649999999916e+02	3.806999999999999813e-30
2.777841930000000161e+02	1.268999999999999938e-30
2.778398720000000139e+02	1.537999999999999967e-30
2.778727039999999988e+02	1.285000000000000057e-27
2.781619640000000118e+02	4.645999999999999995e-29
2.782575729999999794e+02	1.124999999999999984e-18
2.784249609999999961e+02	1.299000000000000080e-29
2.784718980000000101e+02	9.274999999999999568e-28
2.785182189999999878e+02	3.757000000000000019e-19
2.785495189999999752e+02	1.915000000000000031e-27
2.785679299999999898e+02	2.338000000000000139e-27
2.790807260000000269e+02	8.917000000000000379e-29
2.791911799999999744e+02	1.105999999999999980e-29
2.791911799999999744e+02	3.686999999999999943e-30
2.793233000000000175e+02	6.956000000000000468e-29
2.793247029999999995e+02	2.318999999999999885e-29
2.795363629999999944e+02	9.255000000000000485e-27
2.799763209999999845e+02	6.813999999999999727e-28
2.799923610000000167e+02	2.271000000000000217e-28
2.801343029999999885e+02	2.132999999999999982e-29
2.801620919999999728e+02	4.121000000000000091e-29
2.801639319999999884e+02	1.020999999999999973e-30
2.802068990000000213e+02	1.748000000000000090e-30
2.802184009999999716e+02	1.398000000000000060e-29
2.802578270000000202e+02	1.519000000000000099e-29
2.803303250000000162e+02	9.429000000000000197e-30
2.803435929999999985e+02	1.191000000000000022e-30
2.803519450000000006e+02	2.606999999999999879e-19
2.803646810000000187e+02	2.126000000000000065e-29
2.803825830000000110e+02	1.433999999999999951e-29
2.808175180000000069e+02	4.848999999999999675e-30
2.808353379999999788e+02	1.450000000000000121e-29
2.808376480000000015e+02	1.034000000000000058e-29
2.808376559999999813e+02	3.447000000000000203e-30
2.809570279999999798e+02	1.331000000000000139e-29
2.809674640000000068e+02	3.983999999999999884e-29
2.810004170000000272e+02	2.753999999999999991e-30
2.811557549999999992e+02	3.122000000000000109e-21
2.813360260000000039e+02	1.395000000000000091e-24
2.813573920000000044e+02	2.260999999999999936e-29
2.814143809999999917e+02	2.358000000000000070e-30
2.816103059999999800e+02	3.417000000000000033e-28
2.817479389999999739e+02	4.581000000000000130e-29
2.818327520000000277e+02	1.092000000000000007e-29
2.819153420000000096e+02	5.618999999999999481e-20
2.819319719999999734e+02	6.721999999999999607e-28
2.819320000000000164e+02	2.666999999999999796e-25
2.820870719999999778e+02	1.338000000000000069e-24
2.820873310000000060e+02	4.461000000000000226e-25
2.821422239999999988e+02	4.374999999999999944e-29
2.822323640000000182e+02	5.448000000000000003e-24
2.822584100000000262e+02	6.177999999999999983e-19
2.823188430000000153e+02	1.208000000000000045e-29
2.823203169999999886e+02	6.800000000000000567e-30
2.824151430000000005e+02	2.421999999999999944e-27
2.824462310000000116e+02	1.355000000000000029e-28
2.828169970000000149e+02	1.854999999999999958e-28
2.828252820000000156e+02	1.018999999999999917e-30
2.828383820000000242e+02	6.184000000000000067e-29
2.828498020000000110e+02	3.894999999999999904e-29
2.829665279999999825e+02	6.970000000000000301e-29
2.830415130000000090e+02	1.338999999999999978e-30
2.831029060000000186e+02	1.471000000000000061e-27
2.831237390000000005e+02	3.675999999999999970e-28
2.832483110000000011e+02	2.081000000000000145e-28
2.833254269999999906e+02	1.475000000000000039e-28
2.834889660000000049e+02	1.208999999999999970e-21
2.835125830000000065e+02	4.421000000000000139e-27
2.836414100000000076e+02	2.160000000000000110e-30
2.838721400000000017e+02	1.336000000000000069e-30
2.838725929999999948e+02	4.006999999999999829e-30
2.839736730000000193e+02	3.450999999999999755e-29
2.840761880000000019e+02	4.803999999999999812e-30
2.841619929999999954e+02	1.553000000000000038e-30
2.842617819999999824e+02	6.342999999999999489e-26
2.843470219999999813e+02	1.903999999999999890e-25
2.843779000000000110e+02	3.018999999999999985e-21
2.845912359999999808e+02	2.864999999999999852e-27
2.846647239999999783e+02	1.013000000000000071e-24
2.847860089999999786e+02	3.080000000000000084e-21
2.847862700000000018e+02	1.026999999999999924e-21
2.849037400000000275e+02	3.354999999999999859e-29
2.849511259999999879e+02	5.808000000000000008e-30
2.850282399999999825e+02	2.060000000000000102e-30
2.850776749999999993e+02	1.543999999999999961e-30
2.850996369999999729e+02	9.457000000000000545e-26
2.855097030000000018e+02	9.492000000000000778e-22
2.855314139999999838e+02	3.571999999999999988e-25
2.856012170000000197e+02	6.775999999999999354e-27
2.856033869999999979e+02	2.849999999999999821e-21
2.857725590000000011e+02	1.597000000000000049e-30
2.857829760000000192e+02	1.074000000000000082e-24
2.858332280000000196e+02	4.470999999999999854e-26
2.858589240000000018e+02	1.773999999999999980e-29
2.858591579999999794e+02	9.280000000000000526e-22
2.859839549999999804e+02	2.214000000000000016e-29
2.860679890000000114e+02	2.597000000000000076e-28
2.861731480000000261e+02	9.919999999999999986e-30
2.864219640000000027e+02	1.541999999999999960e-28
2.866297559999999862e+02	4.859999999999999985e-30
2.866722419999999829e+02	1.421000000000000006e-30
2.867368050000000039e+02	3.616999999999999934e-22
2.868214580000000069e+02	2.227000000000000102e-29
2.869184000000000196e+02	8.241999999999999953e-23
2.869939610000000130e+02	1.027999999999999974e-28
2.871587149999999724e+02	4.655000000000000416e-28
2.873183849999999779e+02	1.266000000000000028e-30
2.875481530000000134e+02	4.245999999999999737e-28
2.878073909999999955e+02	4.257000000000000058e-27
2.878571180000000140e+02	1.038999999999999931e-21
2.880556129999999939e+02	3.463999999999999840e-29
2.881698939999999993e+02	3.331999999999999773e-30
2.882284960000000069e+02	1.270000000000000027e-27
2.883615930000000276e+02	4.588999999999999974e-23
2.884979630000000270e+02	1.983000000000000039e-30
2.886665740000000255e+02	6.788000000000000229e-29
2.886785570000000121e+02	2.375000000000000058e-29
2.887508349999999950e+02	5.960000000000000076e-30
2.887898969999999963e+02	2.940999999999999881e-28
2.893354140000000143e+02	9.062999999999999135e-25
2.893569079999999758e+02	2.094000000000000006e-29
2.894452059999999847e+02	3.714000000000000036e-19
2.894585670000000164e+02	1.142000000000000011e-29
2.895672389999999723e+02	7.709999999999999802e-28
2.897301620000000071e+02	2.710000000000000156e-30
2.897670100000000275e+02	1.561000000000000102e-28
2.897719809999999825e+02	9.649999999999999493e-22
2.898127109999999789e+02	3.979999999999999771e-29
2.901197920000000181e+02	6.333000000000000163e-28
2.901323530000000233e+02	1.548000000000000073e-30
2.901679120000000012e+02	1.765999999999999895e-30
2.902788150000000087e+02	8.211999999999999619e-30
2.905741980000000240e+02	4.784999999999999978e-30
2.907272060000000238e+02	3.473999999999999893e-20
2.907815110000000232e+02	4.937000000000000047e-30
2.910538660000000277e+02	1.174000000000000070e-30
2.910862849999999753e+02	2.927999999999999975e-25
2.911548559999999952e+02	3.746999999999999780e-27
2.911598549999999932e+02	1.123999999999999946e-26
2.912922619999999938e+02	7.625999999999999817e-27
2.913583229999999844e+02	3.188999999999999957e-30
2.914406430000000228e+02	8.026999999999999864e-24
2.914480070000000183e+02	2.407999999999999941e-23
2.915111390000000142e+02	1.743999999999999977e-30
2.915805910000000267e+02	3.826999999999999674e-30
2.917716909999999757e+02	1.034999999999999946e-29
2.918565189999999916e+02	3.184999999999999789e-28
2.919788229999999771e+02	5.892000000000000267e-30
2.920541539999999827e+02	3.607999999999999886e-25
2.921584760000000074e+02	1.652999999999999872e-30
2.921727490000000103e+02	1.150999999999999984e-29
2.922715079999999830e+02	1.075999999999999978e-29
2.922718380000000025e+02	4.157999999999999870e-30
2.925365689999999859e+02	7.136000000000000202e-30
2.927840780000000223e+02	2.354000000000000223e-25
2.928561119999999960e+02	2.567999999999999990e-27
2.929699880000000007e+02	2.142999999999999982e-29
2.930416510000000017e+02	2.210000000000000114e-30
2.930853520000000003e+02	1.299999999999999993e-25
2.931261640000000170e+02	3.899999999999999978e-25
2.931414139999999975e+02	4.396000000000000254e-29
2.931722599999999943e+02	9.450000000000000507e-28
2.932341260000000034e+02	1.658000000000000082e-28
2.933440049999999815e+02	2.836999999999999917e-27
2.933994789999999853e+02	5.512999999999999983e-29
2.936267849999999839e+02	9.012000000000000370e-27
2.938944379999999796e+02	3.495999999999999888e-27
2.939320030000000088e+02	1.434999999999999979e-29
2.939448740000000271e+02	9.022999999999999995e-30
2.940084729999999809e+02	1.300999999999999968e-27
2.940285030000000006e+02	2.997000000000000166e-30
2.942457620000000134e+02	1.416000000000000006e-29
2.943044709999999782e+02	2.397999999999999896e-23
2.943348990000000072e+02	1.442999999999999924e-29
2.943524790000000166e+02	4.011999999999999998e-28
2.948082989999999768e+02	1.340000000000000000e-28
2.951058350000000132e+02	5.634000000000000021e-30
2.953764390000000049e+02	1.498999999999999980e-24
2.955628669999999829e+02	5.112000000000000062e-30
2.955656230000000164e+02	1.116999999999999977e-21
2.957285570000000234e+02	1.272000000000000022e-30
2.959721829999999727e+02	1.717000000000000075e-26
2.959723309999999969e+02	5.721999999999999928e-27
2.960140380000000278e+02	9.166000000000000371e-29
2.961258100000000013e+02	4.468000000000000176e-30
2.964111520000000155e+02	2.636000000000000108e-29
2.965571879999999965e+02	2.650999999999999899e-30
2.965600109999999745e+02	8.025000000000000237e-26
2.965978390000000218e+02	4.017000000000000111e-30
2.967871240000000057e+02	4.581000000000000130e-29
2.968284939999999779e+02	2.096000000000000063e-29
2.968290420000000154e+02	6.985000000000000162e-30
2.969035230000000070e+02	1.927000000000000077e-29
2.969103069999999889e+02	1.485999999999999956e-28
2.973170299999999884e+02	8.761999999999999665e-30
2.973392739999999890e+02	3.686999999999999943e-30
2.973557819999999765e+02	7.736000000000000252e-30
2.973670779999999922e+02	5.012999999999999941e-29
2.975166459999999802e+02	6.825999999999999616e-29
2.975171219999999721e+02	1.460000000000000052e-30
2.975240689999999972e+02	2.048000000000000171e-28
2.975765779999999836e+02	1.959000000000000135e-29
2.976318919999999935e+02	1.178000000000000007e-30
2.977041360000000054e+02	6.528999999999999956e-30
2.979436999999999784e+02	4.256999999999999850e-30
2.979440470000000118e+02	1.277000000000000022e-29
2.979545610000000124e+02	5.409000000000000423e-29
2.980340840000000071e+02	2.140999999999999926e-29
2.980890949999999862e+02	4.928999999999999822e-29
2.981335809999999924e+02	7.401000000000000645e-30
2.981492210000000114e+02	5.668999999999999884e-29
2.982242880000000014e+02	1.351999999999999888e-29
2.982258770000000254e+02	1.837000000000000069e-29
2.982911940000000186e+02	3.997000000000000249e-30
2.984168700000000172e+02	3.843000000000000226e-20
2.986610489999999913e+02	6.370999999999999998e-29
2.986657000000000153e+02	6.695000000000000418e-30
2.989958550000000059e+02	9.746999999999999327e-30
2.990068989999999758e+02	4.545000000000000239e-30
2.990076260000000161e+02	2.473999999999999828e-30
2.990707130000000120e+02	6.344999999999999828e-29
2.993566700000000083e+02	8.234999999999999705e-29
2.997490690000000200e+02	1.325999999999999919e-25
2.997492189999999823e+02	3.979000000000000213e-25
3.004269310000000246e+02	2.619999999999999841e-22
3.006003580000000284e+02	4.096000000000000229e-30
3.007501859999999851e+02	4.376999999999999720e-30
3.009947339999999940e+02	4.242000000000000464e-22
3.009983920000000239e+02	7.362999999999999857e-29
3.010295619999999985e+02	9.984000000000000384e-29
3.011844459999999799e+02	1.416000000000000046e-22
3.013718890000000101e+02	7.103999999999999516e-27
3.013775929999999903e+02	5.446000000000000342e-30
3.014204449999999724e+02	7.598000000000000528e-26
3.014341450000000009e+02	7.018999999999999716e-30
3.015892400000000180e+02	1.833000000000000107e-22
