Light Intensity, Ch A vs Actual Angular Position, Run #5
Actual Angular Position (  )	Light Intensity, Ch A ( % max )
0.921	-0.1
0.923	-0.1
0.925	-0.2
0.927	-0.2
0.929	-0.2
0.932	-0.1
0.934	-0.1
0.936	0.0
0.938	0.0
0.940	0.0
0.943	0.0
0.945	0.0
0.947	0.0
0.948	0.0
0.949	0.0
0.950	0.0
0.951	0.0
0.953	0.0
0.954	0.0
0.955	0.0
0.955	0.0
0.956	0.0
0.958	0.0
0.960	0.0
0.962	0.0
0.964	0.0
0.965	0.0
0.966	0.0
0.966	0.0
0.967	0.0
0.967	0.0
0.969	0.0
0.970	0.0
0.972	0.0
0.975	0.0
0.977	0.0
0.978	0.1
0.979	0.1
0.980	0.0
0.981	0.0
0.983	0.0
0.985	0.0
0.986	0.0
0.987	0.1
0.989	0.0
0.992	0.1
0.994	0.1
0.996	0.1
0.997	0.2
0.999	0.2
1.002	0.2
1.004	0.2
1.006	0.2
1.007	0.1
1.008	0.2
1.010	0.2
1.011	0.2
1.013	0.2
1.015	0.2
1.016	0.2
1.018	0.2
1.021	0.2
1.023	0.2
1.025	0.3
1.027	0.3
1.029	0.3
1.031	0.3
1.032	0.3
1.033	0.4
1.034	0.3
1.036	0.4
1.037	0.3
1.039	0.4
1.040	0.4
1.042	0.4
1.044	0.4
1.046	0.4
1.049	0.5
1.050	0.6
1.052	0.6
1.054	0.7
1.054	0.6
1.055	0.7
1.056	0.7
1.058	0.8
1.059	0.8
1.060	0.8
1.061	0.8
1.063	0.9
1.064	0.9
1.065	1.0
1.066	1.0
1.068	1.1
1.069	1.0
1.070	1.1
1.071	1.2
1.072	1.4
1.073	1.4
1.074	1.6
1.074	1.6
1.075	1.8
1.076	1.8
1.076	2.0
1.076	1.9
1.077	2.1
1.077	2.0
1.077	2.1
1.078	2.1
1.079	2.3
1.080	2.4
1.081	2.6
1.082	2.6
1.083	2.9
1.084	2.9
1.085	3.0
1.086	3.1
1.086	3.4
1.087	3.4
1.087	3.6
1.087	3.5
1.087	3.6
1.088	3.6
1.089	3.9
1.091	4.2
1.092	4.5
1.092	4.7
1.093	5.0
1.094	5.1
1.095	5.7
1.096	6.3
1.098	7.3
1.100	8.6
1.101	10.4
1.103	11.5
1.103	12.7
1.104	13.6
1.105	15.1
1.106	17.7
1.107	27.9
1.108	60.0
1.109	97.1
1.109	97.1
1.109	97.0
1.110	97.0
1.111	97.0
1.111	97.0
1.112	97.0
1.113	96.9
1.113	97.0
1.114	97.0
1.114	97.0
1.115	96.9
1.115	97.0
1.117	97.0
1.118	97.0
1.118	97.0
1.119	97.0
1.119	96.1
1.120	62.9
1.121	42.2
1.122	25.6
1.123	17.6
1.125	14.0
1.127	12.5
1.127	12.0
1.127	11.9
1.128	11.2
1.129	10.4
1.131	9.6
1.132	8.7
1.133	8.2
1.133	8.2
1.133	8.1
1.134	8.0
1.134	7.6
1.135	7.1
1.136	6.7
1.137	6.4
1.138	6.2
1.139	6.0
1.140	5.6
1.141	5.4
1.142	5.1
1.142	4.9
1.143	4.7
1.143	4.8
1.143	4.9
1.143	5.0
1.143	4.9
1.143	5.2
1.143	5.2
1.143	5.3
1.142	5.3
1.142	5.5
1.142	6.2
1.142	7.0
1.142	7.0
1.142	7.3
1.142	7.1
1.142	7.2
1.142	7.1
1.142	7.2
1.142	7.1
1.142	7.3
1.142	7.1
1.142	7.3
1.142	6.9
1.142	7.1
1.142	7.1
1.142	7.1
1.142	6.9
1.142	7.2
1.142	7.0
1.142	7.3
1.142	7.1
1.142	7.1
1.142	7.0
1.142	7.1
1.142	6.8
1.142	7.1
1.142	6.5
1.142	7.0
1.142	6.9
1.142	7.1
1.142	6.8
1.142	7.1
1.142	6.8
1.142	6.9
1.142	6.3
1.142	6.6
1.142	6.6
1.142	6.7
1.142	6.5
1.142	6.8
1.142	6.6
1.142	6.9
1.142	6.3
1.142	6.8
1.142	6.4
1.142	6.8
1.142	6.6
1.142	6.8
1.142	6.5
1.142	6.7
1.142	6.4
1.142	6.6
1.142	6.4
1.142	6.3
1.142	5.5
1.143	5.6
1.143	5.5
1.143	5.5
1.143	5.2
1.143	5.5
1.144	4.9
1.146	4.5
1.147	4.0
1.150	3.6
1.152	3.0
1.154	2.7
1.156	2.3
1.157	2.3
1.160	2.1
1.163	2.0
1.165	1.8
1.167	1.7
1.168	1.5
1.169	1.5
1.171	1.4
1.173	1.2
1.175	1.1
1.176	0.9
1.178	0.8
1.179	0.8
1.180	0.7
1.181	0.6
1.182	0.5
1.184	0.5
1.185	0.4
1.187	0.4
1.189	0.2
1.192	0.3
1.193	0.2
1.194	0.2
1.194	0.3
1.195	0.2
1.196	0.2
1.197	0.2
1.198	0.2
1.198	0.2
1.199	0.2
1.200	0.2
1.202	0.2
1.203	0.2
1.203	0.1
1.203	0.2
1.204	0.1
1.205	0.1
1.206	0.0
1.206	0.0
1.206	0.0
1.207	0.1
1.208	0.1
1.209	0.1
1.211	0.2
1.211	0.0
1.212	0.0
1.213	0.0
1.215	0.0
1.215	0.0
1.215	0.0
1.216	0.0
1.217	0.0
1.217	0.1
1.218	0.1
1.219	0.1
1.221	0.0
1.222	0.1
1.224	0.0
1.224	0.0
1.224	0.0
1.225	0.0
1.225	0.0
1.225	0.0
1.225	0.0
1.225	0.0
1.225	0.1
1.225	0.0
1.225	0.1
1.225	0.0
1.225	0.1
1.228	0.0
1.230	0.0
1.232	0.0
1.233	0.0
1.235	0.0
1.238	0.0
1.240	0.1
1.241	0.1
1.243	0.1
1.245	0.0
1.247	0.0
1.248	0.1
1.252	0.0
1.256	0.0
1.258	0.0
1.261	0.0
1.263	0.0
1.267	0.0
1.270	0.0
1.275	0.0
1.279	0.0
1.282	-0.1
1.286	0.0
1.288	0.0
1.292	0.0
1.294	0.0
1.296	0.0
1.298	0.0
1.300	0.0
1.302	0.0
1.305	0.0
1.308	0.0
1.311	0.0
1.314	-0.1
1.316	-0.1
1.319	0.0
1.321	0.0
1.324	0.0
1.327	-0.1
1.329	0.0
1.331	-0.1
1.333	-0.1
1.335	0.0
1.337	-0.1
1.338	-0.1
1.339	-0.2
1.341	-0.2
1.342	-0.1
1.343	-0.1
1.345	-0.1
1.347	0.0
1.349	0.0
1.353	0.0
1.357	0.0
1.360	-0.1
1.362	-0.1
1.363	-0.1
1.364	0.0
1.366	0.0
1.367	0.0
1.368	0.0
1.370	0.0
1.371	0.0
1.373	0.0
1.374	0.0
1.377	0.0
1.379	0.3
1.382	0.3
1.383	0.2
1.385	0.0
1.387	0.0
1.390	0.0
1.392	0.0
1.394	0.0
1.397	0.0
1.400	0.0
1.403	0.0
1.406	-0.1
1.408	0.7
1.409	2.0
1.412	3.3
1.413	3.7
1.415	2.5
1.416	1.3
1.418	0.5
1.420	0.1
1.423	0.0
1.425	0.0
1.428	0.0
1.429	0.0
1.431	0.0
1.432	0.0
1.435	-0.1
1.437	0.0
1.439	-0.1
1.441	-0.1
1.444	-0.1
1.446	-0.2
1.449	-0.2
1.451	-0.2
1.453	-0.1
1.454	0.0
1.454	-0.1
1.455	0.0
1.456	0.0
1.457	0.0
1.459	0.0
1.460	0.0
1.462	0.0
1.463	0.0
1.464	-0.1
1.466	-0.1
1.467	-0.1
1.470	-0.1
1.471	0.0
1.473	-0.1
1.474	0.0
1.476	0.0
1.477	0.0
1.479	0.0
1.481	0.0
1.483	0.0
1.486	0.0
1.488	0.0
1.490	0.0
1.492	0.0
1.495	0.1
1.496	0.2
1.498	0.2
1.500	0.1
1.504	0.1
1.507	0.2
1.510	0.4
1.513	0.5
1.516	2.5
1.518	15.6
1.520	38.5
1.522	46.9
1.524	36.8
1.526	20.2
1.527	6.3
1.530	1.4
1.533	0.5
1.536	0.4
1.538	0.3
1.541	0.2
1.544	0.2
1.547	0.1
1.551	0.1
1.554	0.1
1.556	0.0
1.559	0.0
1.562	0.0
1.565	0.0
1.568	0.0
1.570	0.0
1.571	0.0
1.572	0.0
1.574	0.0
1.577	0.0
1.579	0.0
1.582	0.0
1.584	0.0
1.587	-0.2
1.590	-0.2
1.592	-0.2
1.595	-0.2
1.597	-0.2
1.600	0.0
1.602	0.0
1.603	0.0
1.604	0.0
1.604	0.0
1.606	0.0
1.607	0.0
1.609	-0.1
1.612	-0.1
1.613	-0.1
1.615	-0.1
1.617	-0.1
1.619	-0.1
1.621	-0.1
1.623	-0.2
1.625	-0.2
1.627	-0.2
1.630	-0.2
1.631	-0.1
1.633	-0.1
1.634	-0.1
1.637	-0.1
1.639	-0.1
1.642	-0.2
1.645	-0.1
1.648	-0.1
1.651	0.0
1.653	-0.1
1.654	-0.1
1.656	-0.1
1.659	-0.1
1.661	-0.1
1.663	-0.1
1.665	-0.1
1.667	-0.1
1.668	-0.1
1.669	-0.2
1.671	-0.1
1.673	-0.1
1.675	-0.1
1.677	-0.1
1.678	-0.2
1.680	-0.1
1.681	-0.2
1.682	-0.1
1.683	-0.2
1.684	-0.2
1.685	-0.2
1.687	-0.2
1.689	-0.2
1.691	-0.1
1.693	-0.2
1.694	-0.1
1.697	-0.1
1.699	-0.1
1.701	-0.1
1.704	-0.1
1.705	-0.1
1.707	-0.1
1.709	-0.1
1.713	-0.1
1.717	-0.2
1.721	-0.1
1.724	-0.1
1.726	-0.2
1.729	-0.1
1.731	-0.1
1.733	-0.1
1.736	-0.1
1.739	-0.1
1.742	0.1
1.744	0.2
1.747	0.0
1.749	0.0
1.752	-0.1
1.755	-0.2
1.758	-0.1
1.759	-0.2
1.761	-0.2
1.763	-0.2
1.766	-0.2
1.769	-0.1
1.771	-0.1
1.775	-0.2
1.778	-0.1
1.782	-0.2
1.784	-0.2
1.787	-0.2
1.789	-0.2
1.791	-0.2
1.793	-0.1
1.796	-0.2
1.799	-0.2
1.802	-0.2
1.804	-0.2
1.805	-0.2
1.807	-0.1
1.810	-0.1
1.813	-0.2
1.816	-0.2
1.820	-0.2
1.823	-0.2
1.826	-0.1
1.829	-0.2
1.832	-0.3
1.836	-0.2
1.838	-0.3
1.840	-0.2
1.843	-0.2
1.846	-0.2
1.850	-0.1
1.852	-0.2
1.854	-0.2
1.856	-0.2
1.859	-0.2
1.863	-0.1
1.867	-0.1
1.871	-0.2
1.876	-0.2
1.879	-0.2
1.882	-0.2
1.884	-0.2
1.886	-0.2
1.889	-0.1
1.892	-0.2
1.895	-0.2
1.897	-0.1
1.897	-0.2
1.898	-0.2
1.900	-0.1
1.902	-0.2
1.904	-0.1
1.906	-0.2
1.910	-0.2
1.914	-0.2
1.917	-0.1
1.921	-0.2
1.925	-0.1
1.929	-0.2
1.933	-0.1
1.936	-0.2
1.938	-0.2
1.941	-0.2
1.942	-0.2
1.944	-0.3
1.946	-0.3
1.947	-0.2
1.950	-0.2
1.951	-0.2
1.953	-0.2
1.954	-0.1
1.956	-0.1
1.959	-0.1
1.962	-0.2
1.965	-0.2
1.969	-0.2
1.974	-0.2
1.978	-0.1
1.982	-0.2
1.986	-0.2
1.990	-0.2
1.994	-0.2
1.997	-0.2
2.000	-0.2
2.003	-0.2
2.006	-0.2
2.009	-0.1
2.014	-0.1
2.017	-0.2
2.020	-0.2
2.021	-0.2
2.022	-0.2
2.025	-0.2
2.028	-0.2
2.031	0.0
2.035	1.0
2.038	1.8
2.041	1.7
2.044	0.7
2.047	0.1
2.048	0.0
2.050	0.0
2.051	-0.1
2.053	-0.1
2.055	-0.1
2.057	-0.1
2.060	-0.1
2.064	-0.1
2.067	-0.2
2.070	-0.2
2.072	-0.2
2.073	-0.2
2.074	-0.2
2.075	-0.2
2.076	-0.2
2.078	-0.1
2.082	-0.2
2.086	-0.1
2.092	-0.2
2.097	-0.2
2.103	-0.3
2.109	-0.3
2.115	-0.3
2.119	-0.3
2.125	-0.2
2.130	-0.2
2.136	-0.2
2.142	-0.1
2.149	-0.2
2.155	-0.1
2.161	-0.1
2.165	-0.1
2.168	-0.1
2.172	-0.1
2.175	-0.1
2.179	-0.1
2.185	-0.2
2.190	-0.2
2.196	-0.2
2.202	-0.1
2.208	-0.1
2.214	0.0
2.218	-0.1
2.222	0.0
2.224	-0.2
2.225	-0.2
2.226	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.2
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.2
2.225	-0.1
2.225	-0.1
2.225	-0.2
2.225	-0.2
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	0.0
2.225	0.0
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.2
2.225	-0.1
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.3
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.3
2.225	-0.3
2.225	-0.3
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.3
2.225	-0.3
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.3
2.225	-0.3
2.225	-0.2
2.225	-0.3
2.225	-0.3
2.225	-0.3
2.225	-0.3
